ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
BD-01 2505,BD-01 2505  ,K4/5V,-0.14,0.1,0.17,,4573,100,,4.446,3.976,0.677,0.02,,,,0.775,,,,,,,N,
BD-05 3176,BD-05 3176  ,K4V,-0.12,0.1,,,4701,79,,3.998,3.874,0.694,0.021,,,,0.783,,,,,,,N,
BD-05 578,BD-05 578  ,G0,0.09,0.05,0.36,,5456,71,,3.409,3.172,0.917,0.037,,,,0.915,,,,,,,N,
BD-06 904,BD-06 904  ,K2V,-0.17,0.06,0.06,,5066,46,,4.647,3.948,0.772,0.026,,,,0.79,,,,,,,N,
BD-08 2534,BD-08 2534  ,G0,-0.81,0.1,0.65,,5568,210,,4.618,3.979,0.751,0.027,,,,0.813,,,,,,,N,
BD-08 4501,BD-08 4501  ,F5,-1.42,0.1,2.5,0.15,5479,230,7,5.992,4.302,0.735,0.029,,,17,0.973,,,,,,,N,
BD-103166,BD-10 3166  ,K3.0V,0.44,0.1,1.04,,5336,55,2.2,2.551,2.361,0.961,0.025,-4.913158134515,-0.019836030395,39,0.745,1,0.46,3.4878,0.046,0.0104,0.3886566,Y,1
BD-13 116,BD-13 116  ,M0,-0.49,0.08,0.25,,4174,248,,4.571,4.032,0.539,0.013,,,,0.703,,,,,,,N,
BD-13 1161,BD-13 1161  ,G2/3V,-0.49,0.08,0.31,,5387,61,2,4.141,3.618,0.907,0.037,,,,0.938,,,,,,,N,
BD-13 321,BD-13 321  ,K4 V (k),-0.01,0.1,0.1,,4633,135,,4.485,4.005,0.715,0.021,,,,0.844,,,,,,,N,
BD-16 308,BD-16 308  ,G5,-0.44,0.1,0.14,,5253,169,,4.363,3.928,0.747,0.025,,,,0.753,,,,,,,N,
BD-21 3153,BD-21 3153  ,K4.5 V (k),-0.17,0.06,0.27,,4583,43,,3.318,3.498,0.638,0.017,,,,0.732,,,,,,,N,
BD+08 3095,BD+08 3095  ,G0,-0.78,0.1,1.96,0.12,5837,113,4,,,,,,,,1.6,,,,,,,N,
